deal_id,rep_name,region,quarter,product_line,deal_size,new_logo
D-0001,Marcus Webb,West,Q1,Core Platform,7288,Y
D-0002,Marcus Webb,West,Q1,Enterprise Suite,82597,N
D-0003,Marcus Webb,West,Q1,Core Platform,19597,Y
D-0004,Marcus Webb,West,Q1,Core Platform,26561,Y
D-0005,Marcus Webb,West,Q1,Core Platform,30286,Y
D-0006,Marcus Webb,West,Q1,Core Platform,50530,N
D-0007,Marcus Webb,West,Q1,Core Platform,16357,N
D-0008,Marcus Webb,West,Q1,Core Platform,44376,N
D-0009,Marcus Webb,West,Q1,Add-on Services,15548,N
D-0010,Marcus Webb,West,Q1,Add-on Services,7450,Y
D-0011,Marcus Webb,West,Q1,Add-on Services,21864,N
D-0012,Marcus Webb,West,Q1,Enterprise Suite,108996,N
D-0013,Marcus Webb,West,Q2,Core Platform,50063,Y
D-0014,Marcus Webb,West,Q2,Core Platform,45864,Y
D-0015,Marcus Webb,West,Q2,Add-on Services,27131,N
D-0016,Marcus Webb,West,Q2,Core Platform,30684,N
D-0017,Marcus Webb,West,Q2,Core Platform,23255,N
D-0018,Marcus Webb,West,Q2,Core Platform,79778,Y
D-0019,Marcus Webb,West,Q2,Core Platform,22609,N
D-0020,Marcus Webb,West,Q2,Core Platform,84623,N
D-0021,Marcus Webb,West,Q2,Core Platform,39082,N
D-0022,Marcus Webb,West,Q3,Core Platform,39335,N
D-0023,Marcus Webb,West,Q3,Enterprise Suite,50744,N
D-0024,Marcus Webb,West,Q3,Core Platform,18220,Y
D-0025,Marcus Webb,West,Q3,Add-on Services,16517,N
D-0026,Marcus Webb,West,Q3,Enterprise Suite,154105,N
D-0027,Marcus Webb,West,Q3,Enterprise Suite,105745,Y
D-0028,Marcus Webb,West,Q3,Add-on Services,12090,N
D-0029,Marcus Webb,West,Q3,Enterprise Suite,77308,N
D-0030,Marcus Webb,West,Q3,Add-on Services,10047,N
D-0031,Marcus Webb,West,Q3,Add-on Services,13623,N
D-0032,Marcus Webb,West,Q3,Core Platform,21796,N
D-0033,Marcus Webb,West,Q4,Core Platform,33226,Y
D-0034,Marcus Webb,West,Q4,Core Platform,9918,N
D-0035,Marcus Webb,West,Q4,Core Platform,17605,Y
D-0036,Marcus Webb,West,Q4,Enterprise Suite,99926,N
D-0037,Marcus Webb,West,Q4,Add-on Services,16861,N
D-0038,Marcus Webb,West,Q4,Add-on Services,21324,N
D-0039,Marcus Webb,West,Q4,Core Platform,26531,N
D-0040,Marcus Webb,West,Q4,Core Platform,57774,N
D-0041,Marcus Webb,West,Q4,Add-on Services,7935,N
D-0042,Marcus Webb,West,Q4,Core Platform,46864,N
D-0043,Marcus Webb,West,Q4,Core Platform,27275,N
D-0044,Marcus Webb,West,Q4,Core Platform,20084,N
D-0045,Marcus Webb,West,Q4,Enterprise Suite,73891,N
D-0046,Priya Raman,West,Q1,Add-on Services,6606,N
D-0047,Priya Raman,West,Q1,Add-on Services,2047,N
D-0048,Priya Raman,West,Q1,Enterprise Suite,75926,N
D-0049,Priya Raman,West,Q1,Add-on Services,3443,Y
D-0050,Priya Raman,West,Q1,Enterprise Suite,63551,N
D-0051,Priya Raman,West,Q1,Core Platform,18237,N
D-0052,Priya Raman,West,Q1,Enterprise Suite,62155,N
D-0053,Priya Raman,West,Q1,Enterprise Suite,71087,N
D-0054,Priya Raman,West,Q1,Core Platform,14608,Y
D-0055,Priya Raman,West,Q1,Core Platform,14050,Y
D-0056,Priya Raman,West,Q1,Core Platform,14422,Y
D-0057,Priya Raman,West,Q1,Core Platform,6699,N
D-0058,Priya Raman,West,Q1,Core Platform,19726,N
D-0059,Priya Raman,West,Q1,Core Platform,32287,N
D-0060,Priya Raman,West,Q2,Enterprise Suite,74187,N
D-0061,Priya Raman,West,Q2,Add-on Services,11253,Y
D-0062,Priya Raman,West,Q2,Core Platform,50639,N
D-0063,Priya Raman,West,Q2,Core Platform,41470,N
D-0064,Priya Raman,West,Q2,Core Platform,32509,Y
D-0065,Priya Raman,West,Q2,Enterprise Suite,78355,N
D-0066,Priya Raman,West,Q2,Core Platform,17296,N
D-0067,Priya Raman,West,Q2,Core Platform,19797,N
D-0068,Priya Raman,West,Q2,Core Platform,35010,N
D-0069,Priya Raman,West,Q2,Add-on Services,18755,Y
D-0070,Priya Raman,West,Q3,Core Platform,14937,N
D-0071,Priya Raman,West,Q3,Core Platform,48377,N
D-0072,Priya Raman,West,Q3,Core Platform,21402,Y
D-0073,Priya Raman,West,Q3,Core Platform,32772,N
D-0074,Priya Raman,West,Q3,Core Platform,29428,N
D-0075,Priya Raman,West,Q3,Add-on Services,15160,N
D-0076,Priya Raman,West,Q3,Add-on Services,17166,N
D-0077,Priya Raman,West,Q3,Core Platform,33664,N
D-0078,Priya Raman,West,Q3,Core Platform,86277,N
D-0079,Priya Raman,West,Q3,Core Platform,19841,Y
D-0080,Priya Raman,West,Q3,Core Platform,21402,N
D-0081,Priya Raman,West,Q3,Core Platform,71786,N
D-0082,Priya Raman,West,Q4,Core Platform,24169,N
D-0083,Priya Raman,West,Q4,Core Platform,77533,N
D-0084,Priya Raman,West,Q4,Enterprise Suite,76953,N
D-0085,Priya Raman,West,Q4,Core Platform,14694,N
D-0086,Priya Raman,West,Q4,Add-on Services,5800,N
D-0087,Priya Raman,West,Q4,Enterprise Suite,41183,N
D-0088,Priya Raman,West,Q4,Core Platform,11408,N
D-0089,Priya Raman,West,Q4,Core Platform,64965,N
D-0090,Priya Raman,West,Q4,Core Platform,21268,N
D-0091,Priya Raman,West,Q4,Add-on Services,11794,N
D-0092,Priya Raman,West,Q4,Core Platform,42537,N
D-0093,Jordan Ellis,West,Q1,Core Platform,6187,N
D-0094,Jordan Ellis,West,Q1,Enterprise Suite,64582,N
