opportunity_id,account_name,contact_email,owner_id,stage,amount,close_date,created_date,source,amount_parsed,close_date_parsed,created_date_parsed,stage_standardized,email_valid
OP-01419,Northgate Auto,priya.brown@gmail.com,U-1015,prospecting,"$30,500",2025-08-24,2025-05-20,Web Form,30500.0,2025-08-24,2025-05-20,Prospecting,True
OP-02055,DeltaWave Media,sofia.taylor@gmail.com,U-1014,Qualified,43228.65,2026-05-31,2026-04-14,Trade Show,43228.65,2026-05-31,2026-04-14,Qualification,True
OP-03871,Larkspur Labs,ava.nguyen@yahoo.com,U-1035,Lost,"$89,754.68",2025-04-30,2024-12-10,Web Form,89754.68,2025-04-30,2024-12-10,Closed Lost,True
OP-03151,Umbra Defense,dev.anderson@gmail.com,U-8888,Prospecting,94797.75,2024-08-09,2024-07-13,Trade Show,94797.75,2024-08-09,2024-07-13,Prospecting,True
OP-01068,,marcus.miller@example.org,U-1010,Qualification,36314.72,2026-05-05,2025-09-18,Partner Referral,36314.72,2026-05-05,2025-09-18,Qualification,True
OP-00865,Zephyr Airlines,noah.patel@gmail.com,U-1019,Discovery,"USD 63,553.80",2025-06-13,2025-01-09,Bulk Import,63553.8,2025-06-13,2025-01-09,Qualification,True
OP-01847,Vertex Capital,kara.johnson@yahoo.com,U-1009,Lost,79418.46,2025-05-11,2024-11-30,Trade Show,79418.46,2025-05-11,2024-11-30,Closed Lost,True
OP-03886,Acme Industrial,aisha.brown@gmail.com,U-1010,PROSPECTING,99424.15,2026-11-08,2026-05-08,Inbound Call,99424.15,2026-11-08,2026-05-08,Prospecting,True
OP-00129,ForgePoint Systems,lena.brown@yahoo.com,U-1004,Qualified,"$38,191.84",2024-08-05,2024-05-22,Partner Referral,38191.84,2024-08-05,2024-05-22,Qualification,True
OP-02311,Ironclad Security,nina.kim@company.com,U-1006,Prospect,"$35,231",2026-09-14,2026-02-16,Partner Referral,35231.0,2026-09-14,2026-02-16,Prospecting,True
OP-04092,,ben.brown@gmail.com,U-1037,Prospecting,76721.46,2026-06-27,2026-06-06,Inbound Call,76721.46,2026-06-27,2026-06-06,Prospecting,True
OP-00064,Xenon Robotics,zoe.wilson@company.com,U-1006,Proposal Sent,27692.94,2024-05-12,2024-02-22,Partner Referral,27692.94,2024-05-12,2024-02-22,Proposal,True
OP-03496,Ironclad Security,raj.wilson@company.com,U-1017,Proposal,132153.86,2025-01-08,2024-08-25,Trade Show,132153.86,2025-01-08,2024-08-25,Proposal,True
OP-03023,Xenon Robotics,ella.davis@example.org,U-1006,Negotiation,183250.84,2026-09-16,2026-04-26,Web Form,183250.84,2026-09-16,2026-04-26,Proposal,True
OP-03016,Ironclad Security,zoe.johnson@example.org,U-1033,Qualification,24136.16,2025-02-23,2024-11-25,Trade Show,24136.16,2025-02-23,2024-11-25,Qualification,True
OP-04294,Yellowpine Lumber,priya.johnson@outlook.com,U-1035,prospecting,128234.73,2024-09-13,2024-06-14,Partner Referral,128234.73,2024-09-13,2024-06-14,Prospecting,True
OP-00629,Keystone Energy,noah.wilson@yahoo.com,U-1000,Discovery,225516.17,2025-06-16,2025-01-16,Inbound Call,225516.17,2025-06-16,2025-01-16,Qualification,True
OP-03973,Acme Industrial,,U-1025,qualification,99796.30,2025-01-15,2024-12-05,Web Form,99796.3,2025-01-15,2024-12-05,Qualification,
OP-01845,Willow Creek Farms,ethan.brown@yahoo.com,U-1007,proposal,,2025-10-05,2025-02-10,Inbound Call,,2025-10-05,2025-02-10,Proposal,True
OP-03276,Willow Creek Farms,tom.anderson@company.com,U-1021,proposal,206449.10,2024-06-10,2024-01-12,Inbound Call,206449.1,2024-06-10,2024-01-12,Proposal,True
OP-00330,Everline Health,tom.moore@example.org,U-1033,CLOSED WON,245085.64,2026-12-24,2027-04-27,Outbound SDR,245085.64,2026-12-24,2027-04-27,Closed Won,True
OP-00889,Keystone Energy,sofia.brown@outlook.com,U-1010,ClosedWon,247366.52,2024-11-30,2024-07-10,Outbound SDR,247366.52,2024-11-30,2024-07-10,Closed Won,True
OP-04137,Everline Health,raj.taylor@company.com,U-1032,ClosedWon,42854.15,2024-08-18,2024-07-23,Bulk Import,42854.15,2024-08-18,2024-07-23,Closed Won,True
OP-03532,Keystone Energy,liam.nguyen@yahoo.com,U-1010,Qualifcation,152055.37,2026-04-16,2026-03-14,Outbound SDR,152055.37,2026-04-16,2026-03-14,Qualification,True
OP-03402,Larkspur Labs,tom.taylor@gmail.com,U-1030,Quote Sent,9465.69,2026-09-12,2026-06-28,Inbound Call,9465.69,2026-09-12,2026-06-28,Proposal,True
OP-00721,Meridian Freight,liam.lee@company.com,U-1034,Prospecting,109070.67,2025-05-10,2024-09-20,Inbound Call,109070.67,2025-05-10,2024-09-20,Prospecting,True
OP-02375,Juniper Retail,nina.davis@company.com,U-1014,Closed-Lost,8242.74,2025-07-30,2025-04-17,Trade Show,8242.74,2025-07-30,2025-04-17,Closed Lost,True
OP-02086,Copperline Foods,sofia.davis@gmail.com,U-1039,qualification,68245.31,2026-06-25,2026-05-05,Outbound SDR,68245.31,2026-06-25,2026-05-05,Qualification,True
OP-04606,Tidewater Marine,ella.kim@yahoo.com,U-1020,closed won,155189.32,2025-08-06,2024-12-29,Inbound Call,155189.32,2025-08-06,2024-12-29,Closed Won,True
OP-02186,Acme Industrial,tom.brown@gmail.com,U-1024,Prospecting,163083.22,2024-09-25,2024-07-15,Web Form,163083.22,2024-09-25,2024-07-15,Prospecting,True
OP-04263,Meridian Freight,chris.taylor@yahoo.com,U-1016,Discovery,"$15,700.87",2024-09-30,2024-02-03,Partner Referral,15700.87,2024-09-30,2024-02-03,Qualification,True
OP-01480,Harborline Bank,tom.johnson@yahoo.com,U-1017,New Lead,100984.72,2025-10-09,2025-03-25,Outbound SDR,100984.72,2025-10-09,2025-03-25,Prospecting,True
OP-00087,Meridian Freight,raj.lee@gmail.com,U-1033,prospecting,170407.39,2027-01-29,2026-08-30,Partner Referral,170407.39,2027-01-29,2026-08-30,Prospecting,True
OP-03648,Zephyr Airlines,zoe.miller@company.com,U-1024,Discovery,192330.73,2025-05-11,2024-11-01,Outbound SDR,192330.73,2025-05-11,2024-11-01,Qualification,True
OP-01213,Quartzline Telecom,tom.garcia@gmail.com,U-1034,qualification,225481.07,2026-09-12,2026-04-11,Outbound SDR,225481.07,2026-09-12,2026-04-11,Qualification,True
OP-01185,ForgePoint Systems,marcus.patel@yahoo.com,U-1031,prospecting,73183.72,2025-05-06,2024-11-02,Inbound Call,73183.72,2025-05-06,2024-11-02,Prospecting,True
OP-01116,,lena.lee@example.org,U-1032,Discovery,200978.77,2026-08-19,2026-02-14,Trade Show,200978.77,2026-08-19,2026-02-14,Qualification,True
OP-00282,Onyx Pharma,ben.garcia@company.com,U-1028,Discovery,30066.55,2026-10-18,2026-04-29,Web Form,30066.55,2026-10-18,2026-04-29,Qualification,True
